,question,correct,answerA,answerB,answerC,answerD,Further Expl.
Question 22*,Who was the lead singer for the UK based anarchist punk band Conflict? , Colin Jerwood, Colin Jerwood, Steve Ignorant,Danny Lore ,Stevie Ross,
Question 23*,"What two groups named their records ""Steal This Album"" after the 1960's Yippie Abbie Hoffman's ""Steal this Book."" ",The hip-hop group the Coup and the alternative metal band System of a Down,The political hip-hop group the Coup and the alternative metal band System of a Down,The political hip- hop group Dead  Prez and the alternative metal band Rage Against the Machine ,The hip-hop group The Roots and the alternative metal band Faith No More,The hip-hop group Gang Star and the alternative metal band Linkin Park,
Question 24*,"This late seventies English punk band, which espoused anarchism and sung about the evils of war, patriarchy, consumer culture�and supported animal rights, started their own eponymously named record label. ",Crass,Crass,Black Flag,the Dead Milkmen ,Agnostic Front,
Question 25*,"Who originally wrote and recorded the 1969 anti-war song ""Fortunate Son""? ",Credence Clearwater Revival,Credence Clearwater Revival,Foo Fighters,the Yardbirds,Cream,
,Members of Public Enemy and Rage Against the Machine got together with this LA based hip-hop group in 2007 to create the group Prophets of Rage., Cypress Hill, Cypress Hill,Da Lynch Mob,Ozomatli,Dilated Peoples,
,"The political, independent, punk record label Alternative Tentacles was started by which band in San Francisco in 1978? ",Dead Kennedys ,Dead Kennedys ,the Avengers,Bomb,the Pansy Division ,
,The song Police State by the political hip-hop group Dead Prez appeared on what landmark 2000 album? ,Lets Get Free ,Lets Get Free ,Wake Up!, RBG: revolutionary but gangsta ,Information Age,
,"The Door's anti- Vietnam War song ""Unknown Soldier"" first appeared on which album in 1968? ",Waiting for the Sun,Waiting for the Sun,Morrison Hotel,LA Women,Strange Days,
Instructions: Use the cells above in COLUMNS B-G to enter your game data. It's ok to leave fields blank. ,What US punk band from Rhode Island released the album Full Communism in 2015? ,Downtown Boys,Downtown Boys,The Island Boys,Black Dice,Arc Iris,
"You can make the columns wider to make room to see your data,  but DO NOT REMOVE OR ADD any columns, rows, or cells or else the data will load incorrectly into your game. ","In 2019 the political folk-punk artist Even Greer released the song ""Ya Estamos"" a song about political resistance in the face of adversity, with which artist?  ",Singer-songwriter and activist Taina Asili,Singer-songwriter and activist Taina Asili,Singer-songwriter and activist Ani DiFranco ,Singer-songwriter and activist Kathleen Hanna,Singer-songwriter and activist Melissa Etheridge,
Then save this file (In CSV format) and upload it to your game at TriviaMaker.com,"In what year did Frank Zappa & The Mothers of Invention's influential first album, Freak Out! come out? ",1966,1966,1969,1975,1978,
"The ""correct"" answer should be entered into column C. This can be changed in the app once all the data is imported.","Fugazi, an early 1980's independent political punk band based in Washington DC, started which legendary record label?", Discord, Discord,Touch and Go Records,Sub-Pop,Fat Wreck Records,
,This member of the groundbreaking New York hip-hop group the Fugees decided to return to Haiti in 2010 where he was born and run for president. His canidancy was ultimately denied by the Provisional Electorial Council. ,Wyclef Jean,Wyclef Jean,Lauryn Hill,Pras Michel,"
Chris Schwartz ",
,What Gang of Four album was ranked the 5th greatest punk album of all time by Rolling Stone? ,Entertainment!,Entertainment!,Solid Gold,Songs of the Free,Mall,
,"What year was the classic reality rap song ""The Message"" by Grand Master Flash and the Furious Five released? ",1981,1981,1974,1987,1984,
,The hip hop artist Ice Cube pulled together and produced this LA�based black nationalist�rap group named after his record label., Da Lynch Mob  , Da Lynch Mob  ,Westside Connection,EPMD,WC and the Maad Circle,
,The Peruvian American political hip-hop artist Immortal Technique appeared in this movie drama about the 2004 Republican National Convention in New York City. , This Revolution , This Revolution ,Our Revolution,My Revolution,Revolution Now,
,"This folk rock duo performed a concert in the Spring in 2016 to protest the United Methodist Church's ban on the ordination of practicing ""homosexuals"" and permitting same-sex couples to marry. ",Indigo Girls ,Indigo Girls ,Wendy and Lisa,Ann and Nancy Wilson,Shakespear's Sister,
,"On March 18 2016, 13 swat team members with the Fayetteville police department raided this rappers recording studio in North Carolina. Who was it? ",J.Cole,J.Cole,Kendrick Lamar,21 Savage,Drake ,
,"The 1986 album Lives in the Balance, a record full of songs critical of U.S. imperialism and militarism, is perhaps the most political album by this U.S. rock musician and singer.", Jackson Brown, Jackson Brown,Don Henley,Tom Petty,James Taylor,
,Radical folk singer Joan Baez founded this anti- war non-profit in 1964?, Institute for the Study of Nonviolence, Institute for the Study of Nonviolence,Institue for World Peace,Coalition to End Violence,School for Peace and Reconcilation,
,In 2018 pop singer John Legend came out in support of what Florida state ballot measure? ,Amendment 4 to restore voting rights to ex-prisoners.   ,Amendment 4 to restore voting rights to ex-prisoners.   ,Measure 13 to ban undocumented immigrants from voting.,Inititative 204 to ban discrimination against LGBTQI in state employment,ACT 12 to reinstate affirmative action in university admissions,
,What was the name of the t-shirt line Kathleen Hanna launched in 2018 which aims to provide funding for the school tuition of girls in West Africa? a) Shirts for Sierra Leone; b) Tees 4 Togo; c) T-shirts for Niger; d) MaliTees?  b) Tees 4 Togo,Tees 4 Togo,Tees 4 Togo,Shirts for Sierra Leone, T-shirts for Niger,MaliTees,
,"Compton, California native Kendrick Lamar won a Grammy Award in 2015 for what? ",Best Rap Album (To Pimp a Butterfly),Best Rap Album (To Pimp a Butterfly),2015 Best New Artist ,Best Pop Album (Section.80),Lifetime Achievement Award,
,"Killer Mike, political rapper and hip-hop activist based in Atlanta, Georgia endorsed which presidential candidate in 2016? ",Bernie Sanders ,Bernie Sanders ,Jill Stein,Joe Biden,Michelle Obama,
,"In 2019 the record Omoiyari, a concept album about the internment of Japanese Americans during World War II was released by which Seattle based violinist? ",Kishi Bashi ,Kishi Bashi ,Ami Nakashima,Haruomi Hosono,Keiji Haino,
,"The classic anti-policing song ""Sound of da Police"" came out in 1990. Which legendary patriarch of political rap wrote and recorded the song? ",KRS-One,KRS-One,Kool G Rap,Big Daddy Kane,Nas,
,According to Leonard Cohen in this 1992 song off his album The Future what is coming to USA? ,Democracy,Democracy,Fascism,a race war,Socialism,
,Who's was lead singer for the electro-punk band LeTigre? ,Kathleen Hanna,Kathleen Hanna,Molly Neuman,Kathi Wilcox,Tobi Vail,
,Artists United Against Apartheid created a benefit album dedicated to funding groups working to end apartheid in South Africa in 1985. What was the name of the record? ,Sun City,Sun City,Holiday City ,Sun Town,Sunny Inn City ,
,"In the Fugees song ""The Beast"" off their amazing 1996 hip-hop album The Score, which Republican politician ""Sucks Dick?"" ",Newt Gingrich ,Newt Gingrich ,John Kasich,Joe Scarborough,Henry Hyde,
,"What song did these lyrics come from? ""I really think the war on terror is a bunch of bullshit, Just a poor excuse for you to use up all your bullets, Limbaugh is a racist. Glenn Beck is a racist, Gaza Strip was getting bombed and Obama didn't say shit."" ","""Words I never Said""-Lupe Fiasco","""Words I never Said""-Lupe Fiasco","""Lies, Lies and More Lies""- Common","""Talk Show Hypocrites""- Kendrick Lamar","""Singin' Truth to Power""- Drake",
,"In the 1971 classic album ""What's Going On"" this soul artist tackles everything from racism to the Vietnam War to environmental degradation. Who was the artist? ",Marvin Gaye,Marvin Gaye,Curtis Mayfield,Stevie Wonder,Smoky Robinson,
,Who was the manager of the proto- punk political rock band MC5 in the late 1960's?, John Sinclair, John Sinclair,Jack Casady,Allen Ginsburg,Jerry Rubin,
,Which record label first distributed the conscious hip-hop and world music artist Michael Franti? ,Alternative Tentacles ,Alternative Tentacles ,Anti- ,Six Degrees Records,Capitol,
,"Michelle Shocked's second album, released in 1988, takes its name from a speaking part in the Pink Floyd song ""Us and Them."" What the name of the album?  ","Short, Sharp, Shocked","Short, Sharp, Shocked",I was really drunk at the time,Matter of fact it's all dark,I Can't Recall,
,"This lead singer of the left-wing Australian alternative rock group Midnight Oil was a Representative for Kingsford Smith, New South Wales in Australia's national parliament. ",Peter Garrett ,Peter Garrett ,Bon Scott,Jim Kerr,Matt Johnson,
,"This Austin, Texas punk band that goes by the acronym MDC was a force in the U.S. hardcore scene in the early 1980's. What does MDC stand for?", Millions of Dead Cops, Millions of Dead Cops,Millions of Dead Corpses,More Dot-Coms ,Many Dead Corporate CEO's ,
,"Jello Biafra, former lead singer for the Dead Kennedys, and Al Jourgensen of the Chicago based industrial band Ministry teamed up to create this political band. ",Lard ,Lard ,Scarred ,Mole,Yeast,
,MMG was a Revolutionary Communist Party affiliated hip-hop collective from New York that recorded a pro-U.S. flag burning song back in 1990. What's the name of the song? ,"""Burn Baby Burn""","""Burn Baby Burn""","""50 State Fire""","""Old Glory in Flames""","""Burn the Flag""",
,"In 2017 this Muslim rapper from Flint, Michigan released a song defending women who choose to wear Hijabs called ""Hijabi (Wrap my Hijab)."" What's her name?", Mona Hayder, Mona Hayder,Shadia Mansour,Mayam Mahmoud,Felukah,
,"Fat Mike, is the politically active lead singer of this US punk band popular in the 1990s. ",NOFX,NOFX,Pennywise,The Offspring,Papa Roach,
,"This influential, political blues, folk singer and guitarist from Birmingham, Alabama sang ""O'freedom"" at the historic March on Washington for civil rights and jobs.", Odetta, Odetta,Etta James,Eartha Kitt,Lena Horne,
,"In September 2018 Patti Smith performed an LA benefit show for this nonprofit organization who help musicians, artists and activists to highlight solutions to climate change. ",Pathways to Paris,Pathways to Paris,The Carbon Zero Committee,Coalition to Save the Planet ,The Green Project,
,The Seattle based grunge rock band Pearl Jam endorse which progressive consumer advocate and Green Party nominee for president in 2000?, Ralph Nader, Ralph Nader,Ross Perot,Jill Stein,John Anderson,
,"In 1940 this political folk ""super group"" which included Pete Seeger, Lee Hays, Woody Guthrie, and Millard Lampell started singing and appearing together under what name? ",The  Almanac Singers ,The  Almanac Singers ,The Popular Front,The Unamericans ,Global Voices,
,Who were the two female members of the folk protest group the Almanac Singers in the 1940's ,"Agnes ""Sis"" Cunningham�and Bess Lomax Hawes","Agnes ""Sis"" Cunningham�and Bess Lomax Hawes", Aunt Molly Jackson and Sara Carter,Marion Harris and Bessie Smith ,Mary Johnston and Gina Jones,
,"The folk trio Peter, Paul and Mary recorded the top ten hit? ""If I Had a Hammer"" in 1962. Who originally wrote the song? ",Pete Seeger and Lee Hayes ,Pete Seeger and Lee Hayes ,Woody Guthrie ,Millard Lampell and Bob Dylan,Phil Ochs,
,"This third wave feminist, alternative rocker from the UK released the album Dry in 1992 to critical and popular acclaim. Who is she?", PJ Harvey , PJ Harvey ,Tori Amos,Bjork,Fiona Apple,
,"How did the radical, folk musician Phil Ochs die? ",Suicide,Suicide,Murder,Cancer,AIDS ,
,"Poor Righteous Teachers, a socially conscious hip-hop group big in the late eighties and early nineties, were a part of what New York based soci-spiritual movement?", The Five Percent Nation, The Five Percent Nation,The Three Percent Nation,The One Percent Nation,The 10 Percent Nation,
,"This long running independent anarchist punk collective based in Minneapolis, Minnesota has published a zine and has ran a record label since 1989. What's its name? ",Profane Existence,Profane Existence,Positive Force,Maximum Rock-n-Roll,On Our Backs,
,"Which list of artists were all part of the political rap-rock ""super group"" Prophets of Rage? ","Tim Commerford, Tom Morello, Brad Wilk, DJ Lord, Chuck D, and B-Real","Tim Commerford, Tom Morello, Brad Wilk, DJ Lord, Chuck D, and B-Real","Tom Morello, Brad Wilk, DJ Lord, Chuck D, B-Real and Ice Cube","Tim Commerford, Tom Morello, Brad Wilk, and Flea","Brad Wilk, DJ Lord, Chuck D, B-Real and Snoop Dogg",
,"This progressive rock band from the UK released the 1977 record ""Animals,"" an angry concept album loosely based on George Orwell's allegorical novel about class society of the same name. ",Pink Floyd,Pink Floyd,Led Zeppelin,Genesis,Yes,
,"The famous film maker Spike Lee partnered with this political hip-hip group in the late 1980's to produce the main song- ""Fight the Power""- in the sound track to his movie Do the Right Thing. ",Public Enemy ,Public Enemy ,X-Clan,Paris,Run-DMC,
,"The Swedish anti-authoritarian, punk band Refused released this highly acclaimed album on October 27, 1998 shortly before they broke up.", The Shape of Punk to Come, The Shape of Punk to Come,War Music,Freedom,Operation Headfirst,
,What 1989 album by REM is still considered their most openly political by many fans? ,Green,Green,Automatic for the People,Document,Fables of the Reconstruction,
,"Which one of these bands never released a song about a ""racist friend?"" ",Rise Against,Rise Against,Special AKA,They Might Be Giants,Naomi Pilgrim,
,What religion did singer/ song writer Sinead O'Conner convert to in 2018? ,Islam,Islam,Southern Baptist,Buddhism ,Confucianism ,
,"In 1979 this feminist punk band released the song ""Typical Girl"" which challenged traditional gender roles in society. ",The Slits,The Slits,The Bags,X-Ray Specs,The Runaways,
,The UK rapper Slowthai released this album in 2019 with songs critical of Brexit and Theresa May. ,Nothing Great About Britain,Nothing Great About Britain,I Wish I Knew,God Made the Queen,This Ain't England,
,What year did the classic Sly and the Family Stone album There's a Riot Goin On get released? ,1971,1971,1975,1966,1979,
,Who did Snoop Dogg endorse for president in 2016?, Hillary Clinton, Hillary Clinton,Bernie Sanders,Donald Trump,Kamala Harris,
,"This Denver based indy hip- hop anarchist released the 2013 album No Wising Up, No Settling Down in which he declared ""I Think I'm Emma Goldman."" ",Sole,Sole,J. Cole,Macklemore,emcee lynx,
,"In 2001 this norte�o band from San Jos�, California sang ""Let me remind the gringo, that I didn't cross the border, the border crossed me"" in ""Somos M�s Americanos"" (""We Are More American"") What's the name of the group?  ",Los Tigres del Norte,Los Tigres del Norte,Los Tucanes de Tijuana,"Vicente ""Chente"" Fern�ndez G�mez",Intocable,
,The New York based no wave band Sonic Youth teamed up with Ian MaKay of Fugazi in 1992 to record this anti- fascist song. ,"""Youth Against Fascism""","""Youth Against Fascism""","""We Will Not Be Silent""","""The Anti-Nazi Salute"" ","""Fuck Fascism""",
,"The 1991 rap hit ""Free South Africa"" appeared on which Stetsasonic album? ","Blood, Sweat and no Tears ","Blood, Sweat and no Tears ",In Full Gear,On Fire,Just Say Stet,
,"On what 1976 did album Steve Miller's anti-poverty song ""Fly Like an Eagle"" appear? ",Fly Like an Eagle,Fly Like an Eagle,Sailor,Book of Dreams,The Joker,
,"The Stiff Little Fingers song ""Alternative Ulster"" was about what?",The oppression of Northern Ireland youth by the Royal Ulster Constabulary ,The oppression of Northern Ireland youth by the Royal Ulster Constabulary ,The oppression of Northern Ireland Catholics by the Orange Order,The oppression of Women in Northern Ireland by Men,The oppression of Irish Protestants by the Vatican ,
,What year did the UK anarchist punk band the Subhumans start? ,1980,1980,1988,1977,1983,
,"Which political Southern California hardcord punk band released the album Lights, Camera, Revolution in 1990? ",Suicidal Tendencies,Suicidal Tendencies,Agent Orange,Black Flag,Social Distortion,
,The Canadian based punk band Sum 41 released the political album Order in Decline in what year?,2019,2019,1980,1992,2011,
,In what year did Sweet Honey in the Rock perform at the Obama White House? ,2008,2008,2018,2002,2012,
,The 2005 anti-war song B.Y.O.B. off the System of a Down album Mezmerize starts off with what question?," ""Why do they always send the poor?"""," ""Why do they always send the poor?""","""Why do they treat us like whores?""","""Why do they always kill the poor""","""Time has come to settle the score""",
,The American rapper and political activist Talib Kweli teamed up with Mos Def in 1997 to form this influential hip-hop group. ,Black Star,Black Star,Wu-Tang Clan,Onyx,Black Sheep,
,"Tupac Shakar's mother, Afeni Shakur, was part of what black liberation organization in the 1970's? ",The Black Panther Party,The Black Panther Party,Black Liberation Army,NAACP,The Urban League,
,"This politically engaged artist from the UK, which released popular alternative albums in the 1980's and early 90's, recorded a song called ""The Beaten Generation"" lamenting Generation X political apathy. ",The The,The The,Midnight Oil,Simple Minds,U2,
,ONE is an international foundation created to end extreme poverty and preventable disease in Africa. Who started it? ,Bono of U2,Bono of U2,Peter Gabriel,Peter Garrett of Midnight Oil,Bob Geldof of the Boomtwon Rats,
,"Which country singer said in 2015 ""I'm a great Bernie and Hillary fan, you know?"" ",Willie Nelson,Willie Nelson,Toby Keith,Keith Urban,Tim McGraw,
,"The late Lumumba Carson, better known as Professor X the Overseer, was a black nationalist, Brooklyn based, rapper with what politically oriented hip-hop group in the late 1980's and early 90's?", X-Clan, X-Clan,the Last Poets,Brand Nubian ,Poor Righteous Teachers ,
,"The 1977 feminist, punk rock classic ""Oh Bondage Up Yours"" was written and performed by what English punk band? ",X- Ray Specs,X- Ray Specs,Hole,The Bags,The Slits,
,"Afrika Bambaataa, widely considered the�creator of electro- funk and an influential hip- hop innovator, founded what South Bronx based hip- hop organization in 1973? ",the Universal Zulu Nation,the Universal Zulu Nation,Boogie Down Productions,Hip Hop Congress,Hip hop for Change,
,"The song ""Hello Birmingham"" by Ani DiFranco is about what?"," the 1998 bombing of an abortion clinic in Birmingham, Alabama"," the 1998 bombing of an abortion clinic in Birmingham, Alabama",the murder of Kansas abortion provider George Tiller in 2009,the murder of Florida abortion provider Dr. David Gunn in 1993 ,"the bombing of the 16th Street Church in Birmingham, Alabama that killed four black girls in 1963",
,"Why was ""Band Aid"" created? ",To help end a famine in Ethiopia,to help end a famine in Ethiopia,to help war refugees in Ethiopia,to help victims of a deadly typhoon in Ethiopia,to help victims of the Ebola Virus in Ethiopia,
,"Finish the title of this Joe Hill song written in 1913 and cover in 1984 by Billy Bragg. ""There is power in a _______""? ",Union,union,family,friendship,nation,
,"The youth movement anthem ""The Times They Are a-Changin"" by Bob Dylan first appeared on what 1964 album? ", The Times They Are a-Changin, The Times They Are a-Changin,"
Highway 61 Revisited",Bringing It All Back Home,Another Side of Bob Dylan,
,"What year did the all gay, synth rock trio Bronski Beat form in England? ",1983,1983,1988,1990,1978,
,"In 1996, she started a philanthropic non-profit fund Nihewan Foundation for American Indian Education devoted to improving Native American students participation in learning. ",Buffy Sainte-Marie,Buffy Sainte-Marie,Tanya Tagaq,Joni Michell ,Joan Baez,
,"What Latin rock legend founded the Milagro Foundation, which helps disadvantaged youth through grants and donations. ",Carlos Santana,Carlos Santana,Michael Carabello,Jose Chepito Areas,Ritchie Valens,
,"Black America Again, released in 2016, was the 11th studio album by which political hip-hop artist? ",Common,Common,Drake,Lil Wayne,Travis Scott,
,"In what year did the folk rock band Crosby, Stills, Nash & Young receive a Grammy for Best New Artist of the Year? ",1970,1970,1965,1974,1978,
,"In the 1993 Cypress Hill song ""I Want to Get High"" which politician did the group encourage to ""go and inhale?"" ",Bill Clinton,Bill Clinton,Al Gore,Gary Hart,John Edwards,
,Dead Kennedys lead singer Jello Biafra ran for this seat in San Francisco in the 1980's. ,Mayor,Mayor,City Council,Board of Supervisors,Attorney General,
,"What song did these lyrics come from? ""These record labels slang our tapes like dope, You could be next in line to sign and still be rhymes and broke, You'd rather have a Lexus or justice? A dream or some substance?""�","�""Hip Hop"" by Dead Prez","�""Hip Hop"" by Dead Prez","""Hip Pop"" by Michael Franti & Spearhead ","""Hip Rock"" by the Coup","""Sheep to Slaughter"" by Paris",
,"Why was Jim Morrison, lead singer of the Doors, arrested in New Haven, Connecticut in 1967?  ",Disturbing the peace after being maced backstage and disparaging the police officer who did it after the incident while on stage. ,Disturbing the Peace and Resisting Arrest after being maced backstage and disparaging the police officer who did it after the incident while on stage. ,Lewd and Lasivious Behavior after getting caught having sex with a women backstage,Assault on a Peace Officer after  pushing and shoving a cop who broke up a make out session between Morrison and a fan,He wasn't arrested in New Haven in 1987,
,"This seminal hip- hop group�was responsible for popularizing socially conscious hip-hop in the early 1980's with classics like ""the Message"" and ""New York, New York."" ",Grand Master Flash and the Furious Five,Grand Master Flash and the Furious Five,Run DMC,the Sugar Hill Gang,the treacherous three,
,"The East Bay radical political hip- hop artist Paris invited this New York based rapper on an extended mix track of the song ""Field Nigga Boogie"" off his 2003 album Sonic Jihad. ",Immortal Technique  ,Immortal Technique  ,Slick Rick,LL Cool J,Master P,
,"Winona LaDuke, a Native American activist and former Green Party candidate for office, teamed up with this folk rock duo to start the grassroots environmental group Honor the Earth.  ",Indigo Girls,Indigo Girls,Simon and  Garfunkel,Captain and Tennille,Hall and Oats,
,"J. Cole's ""High for Hours,"" released in early 2017, mentioned a meeting with which president? ",Barack Obama,Barack Obama,Bill Clinton,George W Bush,Donald Trump,
,"KRS-1, considered by many the father of the ""Golden Age"" of Hip-hip, kick off that era with what politically conscious hit in 1988? ","""My Philosophy"" ","""My Philosophy"" ","""My Theory""","""My Thesis""","""My Beliefs""",
,"Steven Van Zant, guitarist and longtime member of Bruce Springsteen's E Street Band, was the founder of what anti racist organization in the mid 1980's?  ",Artist United Against Apartheid,Artist United Against Apartheid,Artist United Against Racism,Artist United Against White Supremacy,Artist United Against Bigotry,
,"In 1985 what British weekly music magazine voted the landmark political album ""What's Going On"" by Marvin Gaye the best album of all time? ",NME,NME,Melody Maker,Spin,the Globe,
,"John Sinclair, manager for the MC5, founded what counter culture radical organization in Detroit back in late 1960's?", the White Panther Party, the White Panther Party,Students for a Democratic Society,Youth International Party,the Weather Underground,
,"In 2007 Peter Garrett, writer of the anti-colonialism song Beds are Burning was named minister to this post in the  Australian government.", Environmental , Environmental ,Culture,Defense, Treasury ,
,"In June 1988, this female, punk artist released the album Dream of Life, which included the politically charged song ""People Have the Power.""  ",Patti Smith,Patti Smith,Joan Jett,Debbie Harry,Siouxsie and the Banshees,
,"Eddie Vedder recorded  ""Against the 70's"" a song about how the baby boomer generation markets its own nostalgia to the youth about the politically vapid ""me decade."" Who did he sing this duet with?", Carla Bozulich , Carla Bozulich ,Molly Neuman,Laura Macfarlane,Meg White,
,"Who wrote and sang the 1961 anti- war folk song ""Where have All the Flowers Gone?", Pete Seeger, Pete Seeger,Utah Phillips,Woody Guthrie,Phil Ochs,
,"Widely considered the most significant classic rock band reunion in decades, Pink Floyd played their last show together in 2005 at this benefit to end poverty in Africa. ",Live 8,Live 8, Cancel the Debt,Love 8,Campaign for global reparations ,
,What was the name of this anti-war hit song REM recorded on their 1989 album Green?," ""Orange Crush"""," ""Orange Crush""","""Ignoreland""","""Begin The Begin""","""Turn You Inside-Out""",
,What's the name of Sinead O'Conner's first album? ,The Lion and the Cobra,The Lion and the Cobra,"I Do Not Want What I Haven't Got""",Universal Mother,Faith and Courage,
,"South Youth recorded the punk single ""Kool Thing""- a song about how some white women fetishize black male sexuality- with a cameo from this radical hip-hop artist in 1990. ",Chuck D ,Chuck D ,LL Cool J,Cool Moe Dee,Ice Cube,
,"Dr. Bernice Johnson Reagon founded this  all-female, African-American cappella ensemble. ",Sweet Honey in the Rock ,Sweet Honey in the Rock ,the Chiffons ,the Supremes,the Shirelles,
,"What year did the LA based, political metal band System of a Down release their album Toxicity? ",2001,2001,1997,2010,2017,
,Which Vice President went on TV to attack Tupac Shakar's first album 2pacalypse Now in 1991 blaming it for a police officer?s death in Texas. ,Dan Quayle,Dan Quayle,Al Gore,Dick Cheney,Nelson Rockefeller,
,"What was the U2 song ""Bullet the Blue Sky"" off the 1986 album Joshua Tree about? ",US military intervention in El Salvador ,US military intervention in El Salvador ,US military intervention in the Middle East,US military intervention in the Balkans ,US military intervention in Northern Ireland,
,Who was the lead singer of X-Ray Specs? ,Poly Styrene,Poly Styrene,Viv Albertine,Pauline Black, Eve Libertine,
,Who started Band Aid? ,Bob Geldof and Midge Ure,Bob Geldof and Midge Ure,Boy George and Midge Ure,Bob Geldof and Bono,Bono and Jim Kerr,
,In August of 1991 the Latino hip-hop group Cypress Hill did what? ,Released their first album,Released their first album,Played their first show,Opened the Lollapalooza festival,Break up for the first time,
,"The 1979 Vietnam War film ""Apocalypse Now"" featured what Doors Classic? ","""The End""","""The End""","""Peace Frog""","""the Celebration of the Lizard"" ","""the Soft Parade"" ",
,"The anti- war classic ""Us and Them"" appears on what landmark progressive rock album by Pink Floyd? ",Dark Side of the Moon,Dark Side of the Moon,Wish You Were Here,Meddle,The Wall,
,UK rock musician and singer Roger Waters named his 1992 record Amused to Death after this authors book of the same name. ,Neil Postman,Neil Postman,Marshall McLuhan,Harold Innis,Maxine Hancock,
,Pink Floyd guitarist David Gilmore auctioned off 126 of his guitars in 2019 for what cause? ,Fighting climate change,Fighting climate change,Fighting militarism and war,Fighting racism and hate ,Fighting violence against women ,
,"This REM alternative youth anthem, released in 1986, regularly made top ten lists on FM radio stations for the greatest modern rock songs of all time. ","What's the song? ""It's the End of the World as We Know it (and I feel fine)"" ","What's the song? ""It's the End of the World as We Know it (and I feel fine)"" ","""Radio Free Europe""","""Driver 8""","""What's the Frequency Kenneth?""",
